dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
Q8VEK3_Heterogeneous nuclear ri.	63406499.9999985	64133807.9999997	64588091.999999	45338732	63833144.0000014	53963052.0000014	67000211.9999987	65236796.0000009	56778495.9999987	53683368.000001	65455760.0000015	54364520.0000017	72343551.9999981	58001932.0000013	68376159.9999992	61739139.9999991	42531871.9999986	65463932.0000007	58345363.9999989	49680271.9999988	53859040.0000006	50610911.9999993	54595848.0000017	56904268.0000003	54611139.9999983	57456724.0000007	57011539.9999983	52267024.0000005
P28843_Dipeptidyl peptidase 4	20528678.0000004	20185841.9999997	19268037.9999995	11083617.9999999	25290064.0000005	5071965.99999998	25162449.9999994	24516261.9999993	13019730.0000002	16442813.0000001	20516616.0000002	14661707.9999995	18562908	12061560.9999996	370885.410000001	12328974.0000002	9034359.9999999	15920240.9999999	3571490.74999997	11129303.9999999	13816513.0000001	15477543.0000002	16566846.9999997	13663095	16962542.0000005	16582438.9999995	11419590.9999997	16324621.9999997
P58281_Dynamin-like 120 kDa pro.	11639613.9999999	9605429.00000016	9593530.99999975	9414882.99999988	12874089.9999997	8409839.00000019	10035010.0000002	10400980.9999999	11060457.9999997	9814160.99999971	10689738.9999999	11364947.9999999	9922983.00000005	7915934.50000014	7247185.49999988	10191129	8231615.99999986	11468146.0000002	7785976.49999999	4385040.49999998	10021778.9999997	9789083.00000007	10940028	9986583.00000033	11407911.9999998	8642271.99999981	7840372.50000021	9839278.00000014
Q9D1D4_Transmembrane emp24 doma.	26506191.9999993	28730160.000001	39771471.9999992	31997068.0000007	28572240.0000008	27012779.9999999	32388786.0000004	30495610.0000011	23432925.9999995	30714732.0000002	28591811.9999997	29804528	29623236.0000005	36934996.0000012	29768691.9999999	32075077.9999999	35898815.9999994	31195943.9999997	30916997.9999999	38015287.9999987	39398371.9999994	29747836.0000001	31765052.0000011	35955032.000001	33050223.9999989	35346876.0000006	35874852.0000003	30789967.9999993
Q8C0C7_Phenylalanine--tRNA liga.	19769709.9999997	19639847.9999995	19667149.9999994	21656038.0000006	21339994.0000001	20397529.9999999	18081467.9999994	22223685.9999993	20393383.9999993	20383267.9999996	20602146.0000007	20173075.9999999	17803118.0000005	20684437.9999997	21449959.9999993	20739144.0000007	20869430.0000003	19550225.9999996	19574136.0000001	25827428.0000009	23996371.9999992	22513500	20147065.9999997	19678128.0000002	21549752.0000002	20017426	21331516.0000004	19904082.0000001
Q8BML9_Glutamine--tRNA ligase	11825401.0000001	12299187.9999998	11001141.9999997	9259257.00000025	8772937.99999971	7008167.99999995	12207061.9999998	13048220.0000001	9335992.0000002	11380146.0000001	9212387.99999993	7419953.50000022	11171190.9999998	7953744.00000022	4996218.99999998	9502023.00000034	6326867.00000001	11188493.9999996	4819006.0000001	9062567.00000024	8314838.00000007	10366452.9999997	10539368.0000002	10010432.0000003	7895853.00000003	8744544.00000004	8201704.99999973	9306655.00000023
Q8K0D5_Elongation factor G, mit.	6337573.49999982	9394565	8865514.00000001	7943410.4999998	10651950.0000002	7755574.49999992	10010573.0000002	11391668	9540318.00000014	10626739.0000002	10022084.9999997	7888148.99999987	8740118.00000004	7734110.49999975	7519958.99999996	8692280.00000024	5903634.50000018	10329510.9999997	5580958.00000017	8425486.00000008	8951488.00000021	8308868.00000004	8452617.00000023	8768781.99999984	9718988.00000016	8104702.00000012	8296944.99999974	9937871.99999967
Q9CQE1_Protein NipSnap homolog .	36366472.0000002	35010491.9999999	37845324.0000012	40365879.9999987	41216420.0000001	41383116.0000011	38559015.9999993	36280651.999999	38408175.9999995	41944823.9999995	39755700.0000004	40026043.9999999	42547016.0000012	45128847.9999991	40324131.9999986	39203340.000001	46431671.9999986	35270876.0000009	42834135.9999998	35839908.0000011	36422304.0000003	38794704.0000001	40852495.9999995	38662967.9999993	41588011.9999996	42613148.0000013	44087075.999999	38442472.0000004
Q9CQM9_Glutaredoxin-3	15386260.0000001	16115730.0000003	13760134.0000004	14996629	14457667.0000004	13507384.9999995	16207225.0000006	15157993.0000004	16985460.0000003	15880988.9999999	15580087.0000004	13976164.9999996	15835388.0000005	17015062.0000004	14351381.9999996	17855872.0000003	17058641.9999997	17140648.0000002	18686908.0000003	13370227	13237575.0000003	11846393.9999998	14219984.0000001	15250366.0000005	15616805.0000005	17112005.9999995	17264785.9999997	13488884.9999998
Q64523_Histone H2A type 2-C	59382980.0000006	61390332.000002	70301144.0000023	65568280.0000019	69246343.9999986	73292848.0000007	75221055.9999997	71752784.000001	61581119.9999982	68648999.9999994	70178896.0000001	66696928.0000004	63921863.9999987	95005160.0000007	86823255.9999996	89834671.9999997	107240848	85134984.0000002	89058759.9999981	71827840.0000003	61632875.999999	61295091.999998	75275488.0000025	67259592.0000022	64983528.0000019	71062631.9999989	77472039.9999975	74589856.0000018
